ГлубинаМанометра	Dшт	Руст	Рзаб	Pлин	РустКР	РзабКР	PлинКР	Туст	ТНаШлейфе	Тзаб	Tлин	ДебитГазаСУ	ДебитСтКонд	ДебитВодыСУ	ДебитГазаЛУ	ДебитКонНест	ДебитВодыЛУ	Нэф	РплТекПТ	РплТекР	РплТекКарноухов	PсбАтм	PсбБар	Rog	Roc	Row	УдельнаяПлотностьГаза	Gtotal	КГФ
3512.5	9.00	334.5	245.0	92.1	334.6	245.0	91.9	42.0	25.7	21.5	107.4	323.6	55.0	1.55	2693.2	89.3	1.5	20.9	35.4	38.4	39.5	87	85.66		772		0.656		131
3512.5	7.94	335.0	249.0	96.2	334.4	249.0	95.3	44.0	21.0	20.6	107.3	245.0	42.8	1.82	1911.4	70.8	1.8	20.9	35.4	38.4	39.5	87	85.66		770		0.656		135
3512.5	9.53	327.4	242.0	92.1	326.0	242.0	95.4	52.0	29.8	28.9	107.4	339.0	58.7	3.23	2918.6	95.4	3.3	20.9	35.4	38.4	39.5	89	87.54		770		0.656		133
3512.5	12.70	315.9	221.0	98.7	316.2	221.0	90.5	62.0	44.1	42.9	107.4	529.8	88.6	1.86	4705.6	145.4	1.9	20.9	35.4	38.4	39.5	95	93.46		772		0.656		129
3512.5	14.29	306.5	206.0	94.5	311.7	206.0	94.2	59.0	47.1	46.7	107.4	603.3	104.9	2.34	5652.1	164.6	2.3	20.9	35.4	38.4	39.5	90	89.22		766		0.656		133
3518.5	7.94	283.3	210.0	89.0	282.6	210.0	89.2	47.0	24.7	25.3	107.3	201.9	38.2	1.46	1695.3	62.0	1.5	30.1	30.1	37.5	37.5	92	90.50		776.9		0.65		147
3518.5	9.53	278.6	205.0	91.9	276.2	205.0	91.5	55.0	34.2	34.0	107.5	281.8	42.8	4.06	2513.1	69.5	4.1	30.1	30.1	37.5	37.5	90	88.33		776.9		0.65		118
3518.5	11.11	275.6	196.0	92.2	267.8	196.0	91.5	64.0	41.0	40.5	107.5	358.7	48.0	5.53	3325.8	77.7	5.7	30.1	30.1	37.5	37.5	89	88.23		776.9		0.65		104
3518.5	12.70	262.2	186.0	93.1	259.4	186.0	86.9	67.0	45.8	45.3	107.4	418.5	51.1	6.03	3961.2	82.0	6.2	30.1	30.1	37.5	37.5	93	91.29		776.9		0.65		96
3518.5	14.29	252.9	170.2	89.2	248.2	170.0	90.2	68.0	48.7	48.5	107.3	502.8	54.7	8.38	5080.0	86.2	8.5	30.1	30.1	37.5	37.5	85	84.09		776.9		0.65		85
3520.6	9.53	251.0	183.0	96.4	251.1	183.0	96.4	54.0	36.2	36.2	106.5	250.5	38.0	0.62	2102.4	62.0	0.6	30.1	27.4	35.8	35.8	96	94.74		769.8		0.666		117
3520.6	11.1	247.6	175.6	99.3	246.0	175.0	99.3	56.0	42.5	42.5	106.5	320.6	43.0	0.69	2784.7	70.7	0.7	30.1	27.4	35.8	35.8	96	94.25		769.8		0.666		103
3520.6	12.7	241.7	168.1	101.1	240.0	167.0	101.3	59.0	47.4	47.1	106.5	379.9	45.4	4.36	3320.0	73.6	4.2	30.1	27.4	35.8	35.8	97	95.93		769.8		0.666		92
3520.6	14.29	235.7	157.0	105.4	232.4	157.0	105.4	59.0	52.5	52.2	106.4	442.0	50.4	5.01	3893.3	82.9	7.2	30.1	27.4	35.8	35.8	97	95.73		769.8		0.666		88
 	9.5	 	173.0	93.4	 	173.0	92.4	53.0	35.8	 	 	235.7	31.0	0.5	2081.0	51.5	0.3.	30.1	 	 	 	90	89.12		765.3		0.665		101
3608.5	8	328.5	247.9	89.9	329.0	246.0	89.9	33.0	21.7	 	108.2	237.8	45.1	3.07	1988.8	72.2	3.1	18.0	36.5	44.5	44.5	88	87.24	0.8	777.7	1000	0.666	2.64	147.49
